State,Area_Name,Rural_Urban_Continuum_Code_2003,Rural_Urban_Continuum_Code_2013,Urban_Influence_2003,Urban_Influence_2013,Economic_typology_2015,CENSUS_2020_POP,ESTIMATES_BASE_2020,POP_ESTIMATE_2020,POP_ESTIMATE_2021,POP_ESTIMATE_2022,N_POP_CHG_2020,N_POP_CHG_2021,N_POP_CHG_2022
AR,Poinsett County,3,3,2,2,0,"22,965","22,965","22,952","22,730","22,495",-13,-222,-235
AR,Polk County,7,7,11,11,0,"19,221","19,223","19,187","19,331","19,337",-36,144,6
AR,Pope County,5,5,8,8,0,"63,381","63,385","63,403","63,756","64,065",18,353,309
AR,Prairie County,8,8,7,7,1,"8,282","8,284","8,246","8,094","8,069",-38,-152,-25
AR,Pulaski County,2,2,2,2,4,"399,125","399,117","399,246","398,069","399,145",129,"-1,177","1,076"
AR,Randolph County,7,7,11,9,0,"18,571","18,571","18,590","18,842","18,837",19,252,-5
AR,St. Francis County,6,6,3,3,4,"23,090","23,089","23,013","22,701","22,451",-76,-312,-250
AR,Saline County,2,2,2,2,0,"123,416","123,424","123,815","125,319","127,357",391,"1,504","2,038"
AR,Scott County,6,6,6,6,3,"9,836","9,833","9,828","9,795","9,805",-5,-33,10
AR,Searcy County,9,9,10,10,0,"7,828","7,831","7,842","7,880","7,918",11,38,38
AR,Sebastian County,2,2,2,2,3,"127,799","127,800","127,800","128,425","129,059",0,625,634
AR,Sevier County,7,6,11,6,3,"15,839","15,844","15,779","15,709","15,686",-65,-70,-23
AR,Sharp County,7,7,9,9,0,"17,271","17,280","17,319","17,660","17,810",39,341,150
AR,Stone County,9,9,9,9,0,"12,359","12,358","12,350","12,432","12,575",-8,82,143
AR,Union County,5,7,8,8,2,"39,054","39,049","38,926","38,364","37,752",-123,-562,-612
AR,Van Buren County,8,8,7,6,0,"15,796","15,797","15,801","15,751","16,102",4,-50,351
AR,Washington County,2,2,2,2,0,"245,871","245,866","246,756","251,692","256,054",890,"4,936","4,362"
