fid,state
1453,NY
1454,NY
1455,NY
1456,NY
1457,NY
1458,NY
1459,NY
1460,NY
1461,NY
1462,NY
1463,NY
1464,NY
1465,NY
1466,NY
1467,NY
1468,NY
1469,NY
1470,NY
1471,NY
1472,NY
1473,NY
1474,NY
1475,NY
1476,NY
1477,NY
1478,NY
1479,NY
1480,NY
1481,NY
1482,NY
1483,NY
1484,NY
1485,NY
1486,NY
1487,NY
1488,NY
1489,NY
1490,NY
1491,PA
1492,PA
1493,PA
1494,PA
1495,PA
1496,PA
1497,PA
1498,PA
1499,PA
1500,PA
1501,PA
1502,PA
1503,NY
1504,PA
1505,NY
1506,NY
1507,NY
1508,NY
1509,NY
1510,NY
1511,NY
1512,NY
1513,NY
1514,NY
1515,NY
1516,NY
1517,NY
1518,NY
1519,NY
1520,NY
1521,NY
1522,NY
1523,NY
1524,NY
1525,NY
1526,NY
1527,NY
1528,NY
1529,NY
1530,NY
1531,NY
1532,NY
1533,NY
1534,NY
1535,NY
1536,NY
1537,NY
1538,NY
1539,NY
1540,NY
1541,NY
1542,NY
1543,NY
1544,NY
1545,NY
1546,NY
1547,NY
1548,NY
1549,NY
1550,NY
1551,NY
1552,NY
1553,NY
1554,NY
1555,NY
1556,NY
1557,NY
1558,NY
1559,NY
1560,NY
1561,NY
1562,NY
1563,NY
1564,NY
1565,NY
1566,NY
1567,NY
1568,NY
1569,NY
1570,NY
1571,NY
1572,NY
1573,NY
1574,NY
1575,NY
1576,PA
1577,NY
1578,NY
1579,NY
1580,NY
1581,NY
1582,NY
1583,NY
1584,NY
1585,NY
1586,NY
1587,NY
1588,NY
1589,NY
1590,PA
1591,PA
1592,PA
1593,NY
1594,NY
1595,NY
1596,NY
1597,NY
1598,NY
1599,NY
1600,NY
1601,NY
1602,NY
1603,NY
1604,NY
1605,NY
1606,NY
1607,NY
1608,NY
1609,NY
1610,NY
1611,NY
1612,NY
1613,NY
1614,NY
1615,NY
1616,NY
1617,NY
1618,NY
1619,NY
1620,NY
1621,NY
1622,NY
1623,NY
1624,NY
1625,NY
1626,NY
1627,NY
1628,NY
1629,NY
1630,NY
1631,NY
1632,NY
1633,NY
1634,NY
1635,NY
1636,NY
1637,NY
1638,NY
1639,NY
1640,NY
1641,NY
1642,NY
1643,NY
1644,NY
1645,NY
1646,NY
1647,NY
1648,NY
1649,NY
1650,NY
1651,NY
1652,NY
1653,NY
1654,NY
1655,NY
1656,NY
1657,NY
1658,NY
1659,NY
1660,NY
1661,NY
1662,NY
1663,NY
1664,NY
1665,NY
1666,NY
1667,NY
1668,NY
1669,PA
1670,PA
1671,NY
1672,NY
1673,NY
1674,NY
1675,NY
1676,NY
1677,NY
1678,NY
1679,PA
1680,PA
1681,NY
1682,NY
1683,NY
1684,NY
1685,NY
1686,NY
1687,NY
1688,NY
1689,NY
1690,NY
1691,NY
1692,NY
1693,NY
1694,NY
1695,NY
1696,NY
1697,NY
1698,PA
1699,PA
1700,PA
1701,PA
1702,PA
1703,PA
1704,PA
1705,PA
1706,PA
1707,PA
1708,PA
1709,PA
1710,PA
1711,PA
1712,PA
1713,PA
1714,PA
1715,PA
1716,PA
1717,PA
1718,PA
1719,PA
1720,PA
1721,PA
1722,PA
1723,PA
1724,PA
1725,PA
1726,PA
1727,PA
1728,PA
1729,PA
1730,PA
1731,PA
1732,PA
1733,PA
1734,WV
1735,PA
1736,PA
1737,PA
1738,PA
1739,PA
1740,PA
1741,PA
1742,PA
1743,PA
1744,PA
1745,PA
1746,PA
1747,PA
1748,PA
1749,PA
1750,PA
1751,PA
1752,PA
1753,PA
1754,PA
1755,PA
1756,PA
1757,PA
1758,PA
1759,PA
1760,PA
1761,PA
1762,PA
1763,OH
1764,OH
1765,OH
1766,PA
1767,PA
1768,PA
1769,PA
1770,PA
1771,PA
1772,PA
1773,PA
1774,PA
1775,PA
1776,PA
1777,PA
1778,PA
1779,PA
1780,PA
1781,PA
1782,PA
1783,PA
1784,PA
1785,PA
1786,PA
1787,PA
1788,PA
1789,PA
1790,PA
1791,PA
1792,PA
1793,PA
1794,PA
1795,PA
1796,PA
1797,PA
1798,PA
1799,PA
1800,PA
1801,PA
1802,PA
1803,PA
1804,PA
1805,PA
1806,PA
1807,PA
1808,PA
1809,PA
1810,PA
1811,PA
1812,PA
1813,PA
1814,PA
1815,PA
1816,PA
1817,PA
1818,PA
1819,PA
1820,WV
1821,WV
1822,PA
1823,OH
1824,OH
1825,PA
1826,OH
1827,PA
1828,PA
1829,OH
1830,OH
1831,PA
1832,PA
1833,PA
1834,PA
1835,PA
1836,OH
1837,WV
1838,PA
1839,WV
1840,WV
1841,WV
1842,PA
1843,WV
1844,WV
1845,OH
1846,WV
1847,WV
1848,OH
1849,OH
1850,WV
1851,WV
1852,WV
1853,WV
1854,WV
1855,WV
1856,WV
1857,WV
1858,WV
1859,WV
1860,WV
1861,PA
1862,MD
1863,MD
1864,MD
1865,WV
1866,MD
1867,PA
1868,MD
1869,MD
1870,MD
1871,PA
1872,PA
1873,MD
1874,MD
1875,MD
1876,PA
1877,PA
1878,PA
1879,PA
1880,PA
1881,PA
1882,PA
1883,PA
1884,PA
1885,PA
1886,PA
1887,PA
1888,PA
1889,PA
1890,PA
1891,PA
1892,PA
1893,PA
1894,PA
1895,PA
1896,PA
1897,PA
1898,PA
1899,PA
1900,WV
1901,PA
1902,PA
1903,MD
1904,PA
1905,WV
1906,PA
1907,MD
1908,MD
1909,MD
1910,MD
1911,PA
1912,MD
1913,MD
1914,MD
1915,MD
1916,PA
1917,WV
1918,WV
1919,MD
1920,WV
1921,PA
1922,PA
1923,PA
1924,PA
1925,PA
1926,PA
1927,PA
1928,PA
1929,PA
1930,PA
1931,PA
1932,PA
1933,PA
1934,PA
1935,PA
1936,PA
1937,PA
1938,PA
1939,PA
1940,PA
1941,PA
1942,PA
1943,PA
1944,PA
1945,PA
1946,PA
1947,PA
1948,PA
1949,PA
1950,PA
1951,PA
1952,PA
1953,PA
1954,PA
1955,OH
1956,PA
1957,OH
1958,OH
1959,OH
1960,OH
1961,OH
1962,OH
1963,OH
1964,OH
1965,OH
1966,OH
1967,OH
1968,OH
1969,OH
1970,OH
1971,PA
1972,OH
1973,OH
1974,OH
1975,OH
1976,OH
1977,OH
1978,OH
1979,OH
1980,OH
1981,OH
1982,OH
1983,OH
1984,OH
1985,OH
1986,OH
1987,OH
1988,OH
1989,OH
1990,OH
1991,PA
1992,PA
1993,PA
1994,PA
1995,PA
1996,PA
1997,PA
1998,PA
1999,PA
2000,PA
2001,PA
2002,PA
2003,PA
2004,PA
2005,PA
2006,PA
2007,PA
2008,PA
2009,PA
2010,PA
2011,PA
2012,PA
2013,PA
2014,PA
2015,PA
2016,PA
2017,PA
2018,PA
2019,PA
2020,PA
2021,PA
2022,PA
2023,PA
2024,PA
2025,PA
2026,PA
2027,PA
2028,PA
2029,PA
2030,PA
2031,PA
2032,PA
2033,PA
2034,PA
2035,PA
2036,PA
2037,PA
2038,PA
2039,PA
2040,PA
2041,PA
2042,PA
2043,PA
2044,PA
2045,PA
2046,PA
2047,PA
2048,PA
2049,PA
2050,PA
2051,PA
2052,PA
2053,PA
2054,PA
2055,PA
2056,PA
2057,PA
2058,PA
2059,PA
2060,PA
2061,PA
2062,PA
2063,PA
2064,PA
2065,PA
2066,PA
2067,PA
2068,PA
2069,PA
2070,PA
2071,PA
2072,PA
2073,PA
2074,PA
2075,PA
2076,PA
2077,PA
2078,PA
2079,PA
2080,PA
2081,PA
2082,PA
2083,PA
2084,PA
2085,MD
2086,MD
2087,MD
2088,MD
2089,WV
2090,MD
2091,MD
2092,PA
2093,MD
2094,MD
2095,PA
2096,PA
2097,PA
2098,PA
2099,PA
2100,PA
2101,PA
2102,MD
2103,PA
2104,PA
2105,PA
2106,PA
2107,PA
2108,MD
2109,PA
2110,MD
2111,MD
2112,PA
2113,MD
2114,PA
2115,MD
2116,MD
2117,MD
2118,MD
2119,PA
2120,MD
2121,MD
2122,MD
2123,MD
2124,MD
2125,MD
2126,MD
2127,MD
2128,MD
2129,MD
2130,MD
2131,MD
2132,PA
2133,PA
2134,PA
2135,PA
2136,PA
2137,PA
2138,MD
2139,PA
2140,PA
2141,PA
2142,PA
2143,PA
2144,PA
2145,PA
2146,MD
2147,PA
2148,PA
2149,PA
2150,PA
2151,PA
2152,PA
2153,PA
2154,PA
2155,PA
2156,PA
2157,PA
2158,PA
2159,PA
2160,PA
2161,PA
2162,PA
2163,PA
2164,PA
2165,PA
2166,PA
2167,PA
2168,PA
2169,PA
2170,PA
2171,PA
2172,PA
2173,PA
2174,PA
2175,PA
2176,PA
2177,PA
2178,PA
2179,PA
2180,PA
2181,PA
2182,PA
2183,PA
2184,PA
2185,PA
2186,PA
2187,PA
2188,PA
2189,PA
2190,PA
2191,PA
2192,PA
2193,PA
2194,PA
2195,PA
2196,PA
2197,PA
2198,PA
2199,PA
2200,PA
2201,PA
2202,PA
2203,PA
2204,PA
2205,PA
2206,PA
2207,PA
2208,PA
2209,PA
2210,PA
2211,PA
2212,PA
2213,PA
2214,PA
2215,PA
2216,PA
2217,PA
2218,PA
2219,PA
2220,PA
2221,PA
2222,PA
2223,MD
2224,DE
2225,MD
2226,MD
2227,DE
2228,MD
2229,MD
2230,MD
2231,MD
2232,MD
2233,DE
2234,MD
2235,MD
2236,MD
2237,MD
2238,DE
2239,MD
2240,MD
2241,MD
2242,MD
2243,MD
2244,MD
2245,MD
2246,MD
2247,MD
2248,MD
2249,MD
2250,DC
2251,DC
2252,DC
2253,DC
2254,DC
2255,DC
2256,DC
2257,DC
2258,DC
2259,DC
2260,DC
2261,DC
2262,DC
2263,DC
2264,DC
2265,DC
2266,DC
2267,DC
2268,DC
2269,DC
2270,DC
2271,DC
2272,DC
2273,DC
2274,DC
2275,DC
2276,DC
2277,DC
2278,VA
2279,VA
2280,VA
2281,VA
2282,VA
2283,VA
2284,DC
2285,DC
2286,VA
2287,MD
2288,DC
2289,DC
2290,MD
2291,DC
